Restaurant ID,Name,Aggregate Rating,Rating Subtitle,Votes,Dining Review Count,Delivery Rating,Delivery Review Count,Cost for Two,Cost for One,Locality,Address,Cuisine,City,latitude,longitude
20627345,Caterspoint,4.2,Very Good,783,0,4.2,783,"₹1,000 for two",₹250 for one,"Vasant Kunj, New Delhi","A-85/A, First Floor, Masoodpur Village, Vasant Kunj, New Delhi","Sandwich, Salad, Italian, Continental, Healthy Food, Fast Food, Desserts, Beverages",Delhi NCR,28.53151,77.15021
20800553,Daily Kitchen - Homestyle Meals,4.3,Very Good,47,0,4.3,47,₹200 for two,₹250 for one,"Vasant Kunj, New Delhi","C-7, Shop 2, Ground Floor, Masoodpur, Vasant Kunj, New Delhi","North Indian, Desserts, Beverages",Delhi NCR,28.53151,77.15021
19156033,House Of Wok,4.3,Very Good,"4,064",0,4.3,"4,064",₹900 for two,₹250 for one,"Vasant Kunj, New Delhi","Shop 1 & 2, Property C 12, Ground Floor, Masoodpur, Vasant Kunj, New Delhi","Chinese, Asian, Sushi, Thai, Seafood, Beverages, Salad",Delhi NCR,28.53151,77.15021
19368095,Itminaan Matka Biryani - Slow Cooked,4.1,Very Good,575,0,4.1,575,₹500 for two,₹350 for one,"Vasant Kunj, New Delhi","Shop 2, C 7, Ground Floor, Masoodpur, Vasant Kunj, New Delhi","Biryani, North Indian, Mughlai",Delhi NCR,28.53151,77.15021
20505839,Grameen Kulfi,4.6,Excellent,171,0,4.6,171,₹300 for two,₹350 for one,"Vasant Kunj, New Delhi","C/17, Mossodpur Village, Vasant Kunj, New Delhi","Ice Cream, Desserts",Delhi NCR,28.53151,77.15021
20760699,All@99,3.9,Good,130,0,3.9,130,₹200 for two,₹350 for one,"MG Road, New Delhi","Khasra 408, First Floor, Sultanpur, MG Road, New Delhi","Fast Food, Pizza",Delhi NCR,28.64608,77.12666
19207849,Shagun,4.3,Very Good,303,0,4.3,303,"₹1,300 for two",₹350 for one,"Main Market, Satyaniketan, New Delhi","10, Satyaniketan Market, Opposite Venkateshwara College, Satyaniketan, New Delhi","Chinese, Japanese, Fast Food",Delhi NCR,28.58722,77.16896
20281863,Chimney Sizzlers,4.3,Very Good,"2,943",0,4.3,"2,943",₹850 for two,₹350 for one,"Saket, New Delhi","Kitchen 5, Plot 6, 1st Floor, Saidulajab, Saket, New Delhi","Chinese, Tibetan, Seafood, Momos",Delhi NCR,28.52407,77.20674
20193386,Yum Yum Cha,4.4,Very Good,958,0,4.4,958,"₹2,000 for two",₹350 for one,"Munirka, New Delhi","65/C, Ground Floor, Prateek Market, Munirka, New Delhi","Asian, Chinese, Thai, Japanese, Sushi, Oriental, Ice Cream, Desserts",Delhi NCR,28.55652,77.16379
19008947,Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani,4.1,Very Good,"3,599","1,060",4.1,"2,539","₹1,600 for two",₹350 for one,"Worldmark 1, Aerocity, New Delhi","Shop R1, Lower Ground Floor, The Walk, Worldmark 1, Aerocity, New Delhi","North Indian, Mughlai, Biryani, Desserts",Delhi NCR,28.5506,77.12231
