country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,source_url,etl_timestamp
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-06-08,-51,-23,-65,-56,-47,14,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-06-09,-48,-21,-63,-53,-46,14,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-06-10,-50,-21,-63,-53,-45,14,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-06-11,-46,-17,-63,-51,-43,14,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-06-12,-48,-17,-65,-52,-41,12,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-06-13,-54,-24,-66,-51,-34,9,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-06-14,-43,-15,-58,-48,-42,11,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-06-15,-41,-10,-59,-46,-42,11,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-06-16,-39,-10,-55,-42,-42,10,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-06-17,-40,-11,-55,-44,-42,11,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-06-18,-40,-10,-56,-44,-41,11,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-06-19,-41,-10,-59,-42,-36,9,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-06-20,-48,-16,-61,-45,-33,6,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-06-21,-41,-14,-51,-45,-44,10,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-06-22,-38,-7,-54,-42,-43,10,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-06-23,-38,-9,-50,-39,-42,10,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-06-24,-38,-8,-51,-41,-41,10,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-06-25,-37,-8,-52,-39,-40,10,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-06-26,-39,-7,-56,-39,-36,9,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-06-27,-45,-11,-57,-41,-30,7,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-06-28,-37,-8,-46,-40,-42,9,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-06-29,-37,-7,-53,-38,-42,9,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-06-30,-37,-8,-51,-37,-41,8,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-07-01,-36,-8,-49,-36,-39,9,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-07-02,-38,-11,-52,-34,-39,10,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-07-03,-35,-3,-54,-32,-33,8,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-07-04,-41,-5,-55,-32,-29,6,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-07-05,-33,-4,-43,-33,-39,8,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-07-06,-32,-1,-49,-31,-38,9,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-07-07,-33,-3,-46,-30,-37,9,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-07-08,-33,-3,-46,-31,-36,9,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-07-09,-32,0,-47,-28,-34,9,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-07-10,-34,-1,-52,-29,-33,8,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-07-11,-43,-8,-53,-27,-27,6,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-07-12,-32,-3,-39,-29,-37,8,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-07-13,-33,-4,-47,-27,-37,9,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-07-14,-41,-16,-44,-26,-37,10,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-07-15,-30,5,-40,-24,-33,8,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-07-16,-31,3,-38,-25,-31,8,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-07-17,-34,1,-44,-25,-26,7,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
